Unnamed: 0,Filename,Symmetric Similarity,Cloud Size
0,conferenceRoom-T0,0.982395208326986,5175
1,conferenceRoom-T1,0.982287537346347,14730
43,conferenceRoom-T2,0.979648785803973,29511
54,conferenceRoom-T3,0.976511704171028,47790
65,conferenceRoom-T4,0.974117167062501,61587
76,conferenceRoom-T5,0.969445215197465,73932
87,conferenceRoom-T6,0.965432690010859,82506
98,conferenceRoom-T7,0.963614860964801,89670
109,conferenceRoom-T8,0.962771232268817,93132
120,conferenceRoom-T9,0.958776020271498,96567
2,conferenceRoom-T10,0.958653030782951,98448
13,conferenceRoom-T11,0.958067574979749,104037
24,conferenceRoom-T12,0.955667921300391,115539
35,conferenceRoom-T13,0.951848971581847,125196
37,conferenceRoom-T14,0.950179393533972,132207
38,conferenceRoom-T15,0.945795760754716,137286
39,conferenceRoom-T16,0.938555614966998,147120
40,conferenceRoom-T17,0.939058580208862,157638
41,conferenceRoom-T18,0.939337914061371,164571
42,conferenceRoom-T19,0.939486008529141,168726
44,conferenceRoom-T20,0.939021158544978,174573
45,conferenceRoom-T21,0.935262298833853,183324
46,conferenceRoom-T22,0.931401727594926,195216
47,conferenceRoom-T23,0.93050906489077,208257
48,conferenceRoom-T24,0.931569714192798,225081
49,conferenceRoom-T25,0.931703462936049,237870
50,conferenceRoom-T26,0.931184290344433,247605
51,conferenceRoom-T27,0.930675380692497,255867
52,conferenceRoom-T28,0.930233196916966,262026
53,conferenceRoom-T29,0.929846890873504,265305
55,conferenceRoom-T30,0.929344827145574,271791
56,conferenceRoom-T31,0.929406385971656,285642
57,conferenceRoom-T32,0.929105126043611,295611
58,conferenceRoom-T33,0.928953659836335,301077
59,conferenceRoom-T34,0.928683869531369,304557
60,conferenceRoom-T35,0.928483546526846,307242
61,conferenceRoom-T36,0.923315813734034,314568
62,conferenceRoom-T37,0.924014097613459,320382
63,conferenceRoom-T38,0.924287940111936,327219
64,conferenceRoom-T39,0.92466614401007,332808
66,conferenceRoom-T40,0.925080071861362,338754
67,conferenceRoom-T41,0.925257813997366,343662
68,conferenceRoom-T42,0.925405050218086,349719
69,conferenceRoom-T43,0.925747086857954,360297
70,conferenceRoom-T44,0.925671296573749,375027
71,conferenceRoom-T45,0.926081535475002,389937
72,conferenceRoom-T46,0.926072099795401,402414
73,conferenceRoom-T47,0.926321999643626,415908
74,conferenceRoom-T48,0.923826509999331,426903
75,conferenceRoom-T49,0.923652835531216,441654
77,conferenceRoom-T50,0.919595997865123,453591
78,conferenceRoom-T51,0.919298320826672,462555
79,conferenceRoom-T52,0.919001535118785,469242
80,conferenceRoom-T53,0.918821599949178,474075
81,conferenceRoom-T54,0.918768864913024,480234
82,conferenceRoom-T55,0.918592453619656,486012
83,conferenceRoom-T56,0.918353612622786,492003
84,conferenceRoom-T57,0.918277633734177,494814
85,conferenceRoom-T58,0.918189956170611,500433
86,conferenceRoom-T59,0.917357326087587,510372
88,conferenceRoom-T60,0.916997838975213,522372
89,conferenceRoom-T61,0.917192266970477,534957
90,conferenceRoom-T62,0.917087066907102,544488
91,conferenceRoom-T63,0.916960544394912,551583
92,conferenceRoom-T64,0.908299197363948,562743
93,conferenceRoom-T65,0.908528125932482,569049
94,conferenceRoom-T66,0.908753189099216,578049
95,conferenceRoom-T67,0.909148897366226,590469
96,conferenceRoom-T68,0.908952341814577,602631
97,conferenceRoom-T69,0.909413700844535,620337
99,conferenceRoom-T70,0.9095899122245,637986
100,conferenceRoom-T71,0.909574406642978,656172
101,conferenceRoom-T72,0.909118283393747,669798
102,conferenceRoom-T73,0.908959633785214,678960
103,conferenceRoom-T74,0.90879443781839,686130
104,conferenceRoom-T75,0.908607643805052,691176
105,conferenceRoom-T76,0.908508741481051,695664
106,conferenceRoom-T77,0.908318038421638,701388
107,conferenceRoom-T78,0.908384397459159,706047
108,conferenceRoom-T79,0.90824422831215,710424
110,conferenceRoom-T80,0.908236366238874,719634
111,conferenceRoom-T81,0.908219028060997,728502
112,conferenceRoom-T82,0.908624851732961,745230
113,conferenceRoom-T83,0.908916554865099,766242
114,conferenceRoom-T84,0.909487991877727,780312
115,conferenceRoom-T85,0.90948100888287,786927
116,conferenceRoom-T86,0.909397887467751,791178
117,conferenceRoom-T87,0.909229329534965,798111
118,conferenceRoom-T88,0.909144005544455,811284
119,conferenceRoom-T89,0.908922427792298,826935
121,conferenceRoom-T90,0.908808223397824,839484
122,conferenceRoom-T91,0.908501055608535,848712
123,conferenceRoom-T92,0.908255117766823,857484
124,conferenceRoom-T93,0.908005642540525,867342
125,conferenceRoom-T94,0.907884971527292,873087
126,conferenceRoom-T95,0.907629282095268,880953
127,conferenceRoom-T96,0.907350909873846,886953
128,conferenceRoom-T97,0.907287810870212,894534
129,conferenceRoom-T98,0.907277503790592,903522
130,conferenceRoom-T99,0.907241248584176,916206
3,conferenceRoom-T100,0.907143734680608,929592
4,conferenceRoom-T101,0.907084460741201,942480
5,conferenceRoom-T102,0.906936459639636,953982
6,conferenceRoom-T103,0.906727238592106,962652
7,conferenceRoom-T104,0.906598447102393,969252
8,conferenceRoom-T105,0.906536745777735,974082
9,conferenceRoom-T106,0.906504579472687,975831
10,conferenceRoom-T107,0.906495820501155,976170
11,conferenceRoom-T108,0.906477291663026,983427
12,conferenceRoom-T109,0.906614356969007,991746
14,conferenceRoom-T110,0.906663208699185,1003470
15,conferenceRoom-T111,0.906611660028125,1009221
16,conferenceRoom-T112,0.906534293177244,1017246
17,conferenceRoom-T113,0.906487503165565,1026105
18,conferenceRoom-T114,0.90640093908256,1037940
19,conferenceRoom-T115,0.906326600424073,1051344
20,conferenceRoom-T116,0.906306988067846,1064781
21,conferenceRoom-T117,0.906259125506667,1073724
22,conferenceRoom-T118,0.906128716018007,1081455
23,conferenceRoom-T119,0.905998919094626,1087956
25,conferenceRoom-T120,0.905792610875059,1097184
26,conferenceRoom-T121,0.905679627789884,1103817
27,conferenceRoom-T122,0.905584500692707,1108713
28,conferenceRoom-T123,0.905545579605397,1112754
29,conferenceRoom-T124,0.90543415490633,1117254
30,conferenceRoom-T125,0.905361544058959,1123170
31,conferenceRoom-T126,0.905179646289189,1133790
32,conferenceRoom-T127,0.905043600284274,1143975
33,conferenceRoom-T128,0.904906511796523,1153476
34,conferenceRoom-T129,0.904782129018105,1157826
36,conferenceRoom-T130,0.904742401292277,1161549
